geo,host,facility_counts,hosts_facility_counts,total_pop,white_only_pct,white_only_non_hispanic_pct,hispanic_pct,black_only_pct,asian_only_pct,vacant_housing_pct,renter_pct,median_income,bachelors_pct,high_school_pct,graduate_pct,less_than_9th_pct,female_bachelors_pct,female_graduate_pct,female_high_school_pct,female_less_than_9th_pct,male_bachelors_pct,male_graduate_pct,male_high_school_pct,male_less_than_9th_pct,female_median_income,male_median_income,people_of_color_pct
06073000100,Host,3,3,2908,80.8,78.7,9.6,1.1,4.6,5.7,14.5,211023,79.6,96.8,49.5,1.2,73.7,37.8,97.2,1.6,86.3,62.6,96.3,0.7,81944,200481,21.299999999999997
06073000201,Host,2,2,2001,77.5,75,13.1,1.2,5.3,5.7,55.3,110476,74.8,98.3,38.1,0,73.6,37.2,98.3,0,76,39,98.2,0,94125,122955,25
06073000202,Host,3,3,4441,72.5,69,16.8,1.9,6.3,6,57.8,121264,58.4,96.3,17.8,2.1,57,17.2,94.4,3.7,59.8,18.4,98.2,0.7,71914,100300,31
06073000301,Host,2,2,2155,72.9,68.4,16.2,2.3,7.3,6.7,76.2,79605,64,97.6,30.8,0,70.4,36.7,98.6,0.1,58.4,25.5,96.7,0,69583,68618,31.599999999999994
06073000302,Host,2,2,2811,71,65.9,17.6,3.5,6.4,11.6,70.1,89850,63.5,97.8,39.7,1,61.7,38.1,97,0.1,64.9,40.8,98.3,1.7,61667,95726,34.099999999999994
06073000400,Non-Host,2,0,3794,63.5,58.5,19.2,4.9,10.8,6.4,83.2,89565,60.7,97.7,26.6,2.3,53.4,24.5,95.2,4.8,65.3,27.8,99.4,0.6,66322,67154,41.5
06073000500,Host,1,1,3012,68.7,64.1,18.8,2.2,7,4.3,65.6,101875,58.5,94.5,26.6,2.8,73,36.5,95.3,2.4,44.4,17.1,93.7,3.1,73894,84479,35.900000000000006
06073000600,Non-Host,2,0,3182,67.2,62.2,18.5,3.5,7.7,8.8,70.2,99161,60.9,96.3,24.2,1.4,69.3,29.5,91.3,2.9,55.2,20.6,99.7,0.3,62339,69279,37.8
06073000700,Non-Host,2,0,4072,69.5,64.8,18.1,3.3,7.3,5.4,74.1,109484,61,97.8,22.8,2.2,67.2,25.2,96,4,55.8,20.8,99.3,0.7,66341,79827,35.2
06073000800,Non-Host,0,0,4890,59.2,54.4,24.9,9.6,5.9,6.7,72.8,92348,59.3,96.6,17.9,2.3,58,19.1,98,2,60.6,16.8,95.2,2.7,43686,75526,45.6
06073000901,Non-Host,1,0,3184,54.5,47.3,31.7,8.1,7,6.5,83.3,106133,64.5,93,20.6,4.2,67,24.5,94.9,0.8,62.1,16.9,91.1,7.6,64855,71926,52.7
06073000902,Non-Host,1,0,2479,59.1,53.1,25.8,5.3,8.6,4.5,88.8,83678,52,95.6,22.9,3.3,59.7,22.3,93.9,6.1,42.8,23.6,97.6,0,49929,71750,46.9
06073001000,Host,1,1,4690,61.1,55.2,26.1,4.8,6.5,7,78.7,86443,57.7,94.7,19.9,2.5,63.5,27.8,93.5,4,51.6,11.7,96,0.9,63112,71382,44.8
06073001100,Host,1,1,3000,61.3,55.4,24.9,5.5,6.2,5.7,74.4,94007,58.8,98.6,25.2,1,60.9,23.6,97.8,2.2,57.1,26.5,99.4,0.1,58450,80121,44.6
06073001201,Host,1,1,2235,49.5,43.6,33.9,9.1,7.1,3.4,88,68750,39.7,94.4,13,1.7,42.1,16.8,96.7,0,36.8,8.7,91.7,3.7,65777,66016,56.4
06073001202,Host,1,1,3216,52.2,46.4,29.3,10,7.4,4.1,79.6,102857,55.1,97.2,18,0.6,66.3,20.5,95,1.2,44.4,15.6,99.3,0,59745,74743,53.6
06073001301,Non-Host,1,0,2696,56,50,27.6,6.7,9.5,7.3,76.7,105903,63.4,97.9,18.5,2.1,69.7,19.7,98.9,1.1,58.8,17.6,97.1,2.9,70144,67264,50
06073001302,Non-Host,1,0,3331,54.3,48.7,29.6,7.8,7.9,6.7,85,83659,59.8,98.5,15.7,0.6,57.3,21.2,96.5,1.4,61.7,11.6,100,0,57143,82706,51.3
06073001400,Non-Host,0,0,3205,68.7,63.6,20.6,2.7,6.1,5.6,64.1,94156,60.7,95.6,23.3,2.1,63.5,24.8,94.5,2.7,58.4,22,96.5,1.6,58590,92775,36.4
06073001500,Non-Host,0,0,3827,62.8,57.4,25.8,4.5,6.2,5.3,67,110380,58.3,96.5,25.7,1.1,66.1,32.9,96.3,2,51.3,19,96.8,0.3,63516,79257,42.6
06073001600,Non-Host,0,0,5244,36.7,29.9,49.1,8.8,7.4,5.6,84.9,63003,36.2,83.8,8.6,9.1,38.1,9.8,86.7,11.6,34.4,7.4,80.9,6.5,45114,42446,70.1
06073001700,Non-Host,1,0,4521,50.3,44.1,35.9,7.1,6.3,3.9,71.1,90404,47.8,94.9,14.1,4.7,61.1,18.9,99.1,0.9,33.8,9,90.5,8.6,42468,65274,55.9
06073001801,Non-Host,1,0,2003,45.4,39.5,41.5,8,5.3,5.3,81.9,70682,42.6,94.2,16.8,1.9,52.5,21.4,95.9,4.1,33.7,12.6,92.7,0,50833,65375,60.5
06073001802,Host,1,1,3061,51,44.3,36.3,8.8,5.9,4.8,84.5,82013,51.2,92.6,24.4,1.7,51.5,25.1,89.8,3.8,50.9,23.8,94.9,0,56801,63520,55.7
06073001900,Host,1,1,3036,71.6,66.8,19.2,1.9,5.2,4.9,43.9,131619,62.5,97.3,26.8,1.2,66.6,30.8,97,1.8,57.2,21.8,97.7,0.5,66188,74732,33.2
06073002001,Non-Host,1,0,3459,79.8,77.2,11.7,1.6,4.2,4,18.3,188306,74.1,98.9,29.7,0.4,69.9,27.1,97.8,0.9,78.1,32.2,100,0,92564,125694,22.799999999999997
06073002002,Non-Host,0,0,2671,68.6,63.7,19.8,4.9,4.8,3.7,34.9,166605,62.3,97.7,27.3,0.9,64.9,27.7,97.8,2.2,60.4,26.9,97.7,0,85353,95769,36.3
06073002100,Non-Host,0,0,5235,47.2,41.1,37.4,7.8,8,5.6,76.9,76648,59.6,88.8,26.1,4.1,61.9,28.9,87.6,2.6,57.5,23.6,90,5.5,62596,55408,58.9
06073002201,Non-Host,0,0,3593,20.1,12.3,56.2,17.6,10.9,3.4,87.2,40647,21.5,85.3,5.4,11.1,19.9,4.6,83.9,11,24,6.6,87.5,11.2,36425,50400,87.7
06073002202,Non-Host,0,0,4928,14.8,8.6,55.1,11.7,22.8,3.2,92.4,53537,17.7,65.5,4,20.1,20.5,3.9,64.3,17.4,15,4,66.5,22.7,27778,28964,91.4
06073002301,Non-Host,0,0,2976,23.2,17.5,42.7,12.3,23.1,2.8,89.6,76884,37.8,85.2,15.7,10.4,35.9,13.8,85.5,8.9,39.6,17.5,85,11.8,50595,48569,82.5
06073002302,Non-Host,0,0,6215,13.1,7.1,54.4,10.9,25.8,2.8,87.8,46806,12.6,70.5,0.6,11.6,11.6,1.2,62,14.2,13.5,0,78.8,9,23850,41373,92.9
06073002401,Non-Host,0,0,4061,32.3,24,55.9,7.7,8.3,5.2,78.2,75813,40.5,84.9,17.1,8.1,39,14.7,82.9,10,41.9,19.3,86.7,6.4,54116,46522,76
