GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
Geography,Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars),Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Families!!Total,Margin of Error!!Families!!Total,"Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more",Estimate!!Families!!Median income (dollars),Margin of Error!!Families!!Median income (dollars),Estimate!!Families!!Mean income (dollars),Margin of Error!!Families!!Mean income (dollars),Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Married-couple families!!Total,Margin of Error!!Married-couple families!!Total,"Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more",Estimate!!Married-couple families!!Median income (dollars),Margin of Error!!Married-couple families!!Median income (dollars),Estimate!!Married-couple families!!Mean income (dollars),Margin of Error!!Married-couple families!!Mean income (dollars),Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Estimate!!Nonfamily households!!Total,Margin of Error!!Nonfamily households!!Total,"Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more",Estimate!!Nonfamily households!!Median income (dollars),Margin of Error!!Nonfamily households!!Median income (dollars),Estimate!!Nonfamily households!!Mean income (dollars),Margin of Error!!Nonfamily households!!Mean income (dollars),Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months,Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months,Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months
1400000US06073000100,Census Tract 1; San Diego County; California,1103,133,2.9,3.4,0,3.8,0.6,1,1.8,2,8.7,5.7,6.3,6.5,8.3,3.9,10.1,6.7,9.5,4.3,51.8,8.8,211023,92509,345652,84960,29.4,(X),(X),(X),(X),(X),849,107,0,4.9,0,4.9,0.8,1.3,1.4,2.2,7.3,5.8,2,2.7,8.6,4.5,10.2,8.2,8.1,4.9,61.5,9.4,"250,000+",***,348119,66944,(X),(X),27.1,(X),(X),(X),721,130,0,5.7,0,5.7,1,1.6,1.7,2.6,7.5,6.4,1.1,1.7,6.2,3.9,9.2,9.2,8.3,5.4,65,10.4,"250,000+",***,N,N,(X),(X),(X),(X),(X),(X),254,104,12.6,14.3,0,15.4,0,15.4,3.1,5.2,13.4,15.7,20.9,24.4,7.1,8,9.4,9.3,14.2,12.2,19.3,13.4,-,**,293777,257268,(X),(X),(X),(X),37,(X)
1400000US06073000201,Census Tract 2.01; San Diego County; California,1258,121,4.7,4.1,5.2,3.7,10.7,4.8,1,1.4,2.4,2.2,7.9,5.7,14.4,6.1,14.2,5.8,16.3,6.8,23.1,6.5,110476,28513,198715,52066,27.9,(X),(X),(X),(X),(X),491,83,5.5,8.2,0,8.3,4.9,5.2,0,8.3,0,8.3,5.9,5.6,2.9,4.1,17.3,12.2,27.1,14.5,36.5,12,189514,24366,340979,111350,(X),(X),40.9,(X),(X),(X),407,94,6.6,9.8,0,9.9,5.9,6.3,0,9.9,0,9.9,7.1,6.6,3.4,5,12,9.6,20.9,12.4,44,13.9,189931,26720,N,N,(X),(X),(X),(X),(X),(X),767,121,4.2,4.1,8.6,6,14.5,7.4,1.6,2.2,3.9,3.6,9.3,8.4,21.8,9.5,12.3,6.3,9.4,6.4,14.6,7.7,78932,7071,107527,22806,(X),(X),(X),(X),19.6,(X)
1400000US06073000202,Census Tract 2.02; San Diego County; California,2253,210,3.3,3.9,0,1.9,9.1,6.7,2.6,2.5,3.7,3.9,12.6,6.2,7.9,5.1,27.4,9.7,9.4,6.4,24,7.4,121264,17112,151525,22492,24.2,(X),(X),(X),(X),(X),800,197,1.3,2.4,0,5.2,2,3.1,0.8,1.6,2.5,3.9,7.4,7.4,18.3,16,17.9,10.3,14.8,10.7,35.3,13.4,150000,40188,211061,48637,(X),(X),25.8,(X),(X),(X),514,175,0,7.9,0,7.9,0,7.9,0,7.9,3.9,6,3.3,5.1,0,7.9,24.9,13.8,17.1,13.1,50.8,17.6,210909,95095,N,N,(X),(X),(X),(X),(X),(X),1453,230,5.1,5.9,0,2.9,13.1,10.1,3.3,3.9,4.3,5.6,15.4,8.6,8.1,6.4,33.2,13.1,7.6,8.1,9.8,6,103750,44163,108902,19053,(X),(X),(X),(X),23.4,(X)
1400000US06073000301,Census Tract 3.01; San Diego County; California,1368,173,6.2,6.8,2.6,3,6.8,4.1,3.9,3.4,10.1,6.2,15.9,7.3,10.4,6.8,16.7,10.1,6.9,6,20.5,7.5,79605,23452,126395,23457,28.7,(X),(X),(X),(X),(X),503,145,11.9,16.6,0,8.1,7,8.7,0,8.1,11.1,11.6,0,8.1,7,10.6,22.9,14.6,6,6.8,34.2,15.2,118828,38298,180713,62674,(X),(X),29,(X),(X),(X),431,139,13.9,19.1,0,9.4,8.1,10.1,0,9.4,13,13.5,0,9.4,8.1,12.3,14.2,10.9,7,8,35.7,16.7,119922,57497,N,N,(X),(X),(X),(X),(X),(X),865,179,2.9,3.5,4.2,4.8,6.7,5,6.1,5.5,9.5,6.8,25.1,10.3,12.4,8.4,13.2,14.2,7.5,9,12.5,8.1,72861,9090,94808,15636,(X),(X),(X),(X),28.6,(X)
1400000US06073000302,Census Tract 3.02; San Diego County; California,1773,184,6.7,4.8,3.2,4,2.9,3.3,3.4,2.7,9.9,5.1,13,8.6,11.8,6.1,16.4,6.5,7.1,4.6,25.4,8.4,89850,25629,140006,31437,24.8,(X),(X),(X),(X),(X),394,120,0,10.2,0,10.2,5.3,8.9,6.1,7.3,4.6,5.7,0,10.2,10.4,9.7,5.8,6.9,8.9,8.6,58.9,17.3,247788,84268,221451,52002,(X),(X),20.1,(X),(X),(X),308,118,0,12.9,0,12.9,0,12.9,0,12.9,0,12.9,0,12.9,13.3,12.2,7.5,9,5.5,6.4,73.7,16.1,"250,000+",***,N,N,(X),(X),(X),(X),(X),(X),1379,188,8.6,6.1,4.1,5.3,2.2,3.6,2.7,2.7,11.5,6.2,16.8,10.8,12.3,7.3,19.4,7.8,6.6,5.6,15.8,8.7,78735,9269,116544,37253,(X),(X),(X),(X),26.2,(X)
1400000US06073000400,Census Tract 4; San Diego County; California,2509,269,4.3,4.4,0,1.7,5.6,3,7.2,4.2,3.5,2.7,15,6,25.4,10.1,20.2,8.9,5.1,3.6,13.6,6.4,89565,2746,109143,16369,36.2,(X),(X),(X),(X),(X),735,215,0,5.6,0,5.6,0,5.6,4.2,5.4,2.4,4,19.6,14.9,14.8,13.7,27.6,18.8,3.9,4.5,27.3,19,111840,43047,143377,39327,(X),(X),37.3,(X),(X),(X),592,233,0,6.9,0,6.9,0,6.9,2.5,4.4,0,6.9,9.3,8.3,18.4,17.7,30.9,23.1,4.9,5.8,34,21.3,145074,66824,N,N,(X),(X),(X),(X),(X),(X),1774,238,6,6.2,0,2.4,7.9,4.2,8.5,5.5,4,3.5,16.7,7.6,26.2,11.7,17.1,8.4,5.6,4.7,7.9,5.3,84557,12245,94433,15418,(X),(X),(X),(X),35.8,(X)
1400000US06073000500,Census Tract 5; San Diego County; California,1572,173,4.5,4.1,0,2.7,5.5,4.4,4.9,3.7,3.9,2,14,5.5,16,5.3,18.5,5.4,13.8,5.1,18.8,4.9,101875,11689,152804,26545,18.2,(X),(X),(X),(X),(X),613,113,3.8,4.4,1.5,2.3,5.2,7.9,1,1.6,5.4,4,4.9,3.5,5.9,4.6,15.3,8.3,23.8,9.7,33.3,9.6,163162,15306,234098,67941,(X),(X),16.3,(X),(X),(X),477,108,0,8.5,0,8.5,0,8.5,1.3,2,5.2,4.5,4.6,4.5,3.4,4.1,18.4,9.8,29.1,12,37.9,10.7,170707,13925,N,N,(X),(X),(X),(X),(X),(X),959,161,5,6.1,0,4.3,5.7,5.6,6.5,5.9,2.9,2.6,19.8,8.6,22.5,7.8,20.5,8,7.4,4.6,9.6,4.8,86023,10758,100020,14453,(X),(X),(X),(X),19.4,(X)
1400000US06073000600,Census Tract 6; San Diego County; California,1879,200,4.6,3.1,0.5,0.7,7,4.9,2.8,2.4,3,2,10.5,4.6,22.9,7.3,25.4,7.6,8.8,5,14.5,7.2,99161,8869,114445,15709,31.9,(X),(X),(X),(X),(X),442,112,0,9.2,0,9.2,3.8,6,0,9.2,0,9.2,12,12.3,30.8,15.3,25.6,12.1,10.2,11.5,17.6,11.9,102826,14514,134586,30891,(X),(X),34.4,(X),(X),(X),397,101,0,10.1,0,10.1,4.3,6.6,0,10.1,0,10.1,13.4,13.6,24.4,13.7,28.5,12.9,11.3,12.4,18.1,12,103723,25529,N,N,(X),(X),(X),(X),(X),(X),1437,235,6,4.1,0.6,1,8,6.1,3.6,3.2,3.9,2.6,10,4.5,20.5,7.5,25.3,9.1,8.4,5.4,13.6,7.9,96719,17984,108249,16816,(X),(X),(X),(X),31.2,(X)
1400000US06073000700,Census Tract 7; San Diego County; California,2587,346,2.8,3,3,2.5,9.6,5.4,2.5,2.1,5.7,4.3,13.1,5.5,9.1,5.4,27.9,8.3,14.4,9.7,11.8,4.3,109484,24464,119629,16777,23.1,(X),(X),(X),(X),(X),721,183,0,5.7,2.2,3.7,1.9,3.3,4.2,5.2,0,5.7,2.5,4,20.7,14.4,33.6,14.7,18.4,10.5,16.5,9.4,117473,19744,140675,18718,(X),(X),32.6,(X),(X),(X),550,154,0,7.4,0,7.4,2.5,4.2,5.5,6.7,0,7.4,3.3,5.3,14.4,12.5,38.2,16.7,14.5,10.2,21.6,11.8,125000,25400,N,N,(X),(X),(X),(X),(X),(X),1866,396,3.9,4.2,3.3,3.3,12.5,7.3,1.9,2.2,7.9,6.1,17.3,7.7,4.7,4.7,26.4,9.9,12.2,12.8,10,5.5,84519,49444,110853,23056,(X),(X),(X),(X),18.8,(X)
1400000US06073000800,Census Tract 8; San Diego County; California,2898,270,2.1,2.6,3.7,4.3,7.6,5.3,3.8,3,5.4,2.6,16.1,7,12.9,5.1,20.4,7.2,13,6.4,14.9,5.8,92348,23374,117153,15410,26,(X),(X),(X),(X),(X),1037,215,5.9,7.1,0.9,2,0,4,4.1,4.5,2.9,3.3,6.3,5.8,13.9,7.8,19.1,10.7,19.5,9.6,27.5,10.7,144665,51724,159818,30091,(X),(X),24.3,(X),(X),(X),729,212,5.9,9.1,0,5.7,0,5.7,0,5.7,4.1,4.8,6.4,7.4,10.4,8.3,10.8,10.1,27.7,12.9,34.6,14.7,159420,19915,N,N,(X),(X),(X),(X),(X),(X),1861,306,0,2.3,5.3,6.5,11.9,7.9,4,4,6.8,3.6,21.7,10.4,12.5,6.8,21.1,9.6,8.8,8.5,7.9,6,77702,19290,92385,16772,(X),(X),(X),(X),26.3,(X)
