,geography,count_race_total_population,percent_race_total_population_one_race_white,percent_hispanic_or_latino_by_race_total_population_hispanic_or_latino,percent_race_total_population_one_race_black_or_african_american,percent_race_total_population_one_race_asian,percent_race_total_population_one_race_native_hawaiian_and_other_pacific_islander,percent_race_total_population_one_race_american_indian_and_alaska_native,percent_race_total_population_one_race_some_other_race,percent_race_total_population_two_or_more_races,percent_total_races_tallied_1_total_races_tallied_black_or_african_american_alone_or_in_combination_with_one_or_more_other_races,percent_total_races_tallied_1_total_races_tallied_white_alone_or_in_combination_with_one_or_more_other_races,percent_housing_occupancy_total_housing_units_vacant_housing_units,percent_housing_tenure_occupied_housing_units_renter_occupied_housing_units,facility_binary,facility_counts,estimate_households_total,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,estimate_percent_age_by_educational_attainment_population_25_years_and_over_bachelors_degree_or_higher,estimate_percent_age_by_educational_attainment_population_25_years_and_over_high_school_graduate_or_higher,estimate_percent_age_by_educational_attainment_population_25_years_and_over_graduate_or_professional_degree,estimate_percent_age_by_educational_attainment_population_25_years_and_over_less_than_9th_grade,estimate_percent_female_age_by_educational_attainment_population_25_years_and_over_bachelors_degree_or_higher,estimate_percent_female_age_by_educational_attainment_population_25_years_and_over_graduate_or_professional_degree,estimate_percent_female_age_by_educational_attainment_population_25_years_and_over_high_school_graduate_or_higher,estimate_percent_female_age_by_educational_attainment_population_25_years_and_over_less_than_9th_grade,estimate_percent_male_age_by_educational_attainment_population_25_years_and_over_bachelors_degree_or_higher,estimate_percent_male_age_by_educational_attainment_population_25_years_and_over_graduate_or_professional_degree,estimate_percent_male_age_by_educational_attainment_population_25_years_and_over_high_school_graduate_or_higher,estimate_percent_male_age_by_educational_attainment_population_25_years_and_over_less_than_9th_grade,estimate_female_median_earnings_in_the_past_12_months_in_2023_inflation_adjusted_dollars_population_25_years_and_over_with_earnings,estimate_male_median_earnings_in_the_past_12_months_in_2023_inflation_adjusted_dollars_population_25_years_and_over_with_earnings
1,06073000100,2908,80.8,9.6,1.1,4.6,0.1,0.2,1.8,11.3,2.4,91.7,5.7,14.5,FALSE,0,1103,211023,345652,79.6,96.8,49.5,1.2,73.7,37.8,97.2,1.6,86.3,62.6,96.3,0.7,81944,200481
2,06073000201,2001,77.5,13.1,1.2,5.3,0.3,0.5,4.5,10.5,2.5,87.5,5.7,55.3,FALSE,0,1258,110476,198715,74.8,98.3,38.1,0,73.6,37.2,98.3,0,76,39,98.2,0,94125,122955
3,06073000202,4441,72.5,16.8,1.9,6.3,0.1,0.9,5.6,12.7,2.9,84.7,6,57.8,FALSE,0,2253,121264,151525,58.4,96.3,17.8,2.1,57,17.2,94.4,3.7,59.8,18.4,98.2,0.7,71914,100300
4,06073000301,2155,72.9,16.2,2.3,7.3,0,0.9,4,12.6,3.9,84.4,6.7,76.2,FALSE,0,1368,79605,126395,64,97.6,30.8,0,70.4,36.7,98.6,0.1,58.4,25.5,96.7,0,69583,68618
5,06073000302,2811,71,17.6,3.5,6.4,0.4,0.4,6.2,12.1,4.7,82.5,11.6,70.1,FALSE,0,1773,89850,140006,63.5,97.8,39.7,1,61.7,38.1,97,0.1,64.9,40.8,98.3,1.7,61667,95726
6,06073000400,3794,63.5,19.2,4.9,10.8,0.3,0.6,6.5,13.6,6.8,76.5,6.4,83.2,FALSE,0,2509,89565,109143,60.7,97.7,26.6,2.3,53.4,24.5,95.2,4.8,65.3,27.8,99.4,0.6,66322,67154
7,06073000500,3012,68.7,18.8,2.2,7,0.2,0.7,6.2,15.1,3.8,83.2,4.3,65.6,FALSE,0,1572,101875,152804,58.5,94.5,26.6,2.8,73,36.5,95.3,2.4,44.4,17.1,93.7,3.1,73894,84479
8,06073000600,3182,67.2,18.5,3.5,7.7,0.3,0.5,6.3,14.6,5.8,81.1,8.8,70.2,FALSE,0,1879,99161,114445,60.9,96.3,24.2,1.4,69.3,29.5,91.3,2.9,55.2,20.6,99.7,0.3,62339,69279
9,06073000700,4072,69.5,18.1,3.3,7.3,0.1,0.5,5.9,13.3,5.4,82.2,5.4,74.1,FALSE,0,2587,109484,119629,61,97.8,22.8,2.2,67.2,25.2,96,4,55.8,20.8,99.3,0.7,66341,79827
10,06073000800,4890,59.2,24.9,9.6,5.9,0.4,0.7,9.9,14.3,11.4,72.7,6.7,72.8,FALSE,0,2898,92348,117153,59.3,96.6,17.9,2.3,58,19.1,98,2,60.6,16.8,95.2,2.7,43686,75526
